user_id,first_name,surname,full_name,city,region,country,age,gender,income,employment_status,marital_status,email,phone_number,acquisition_channel
U74564,Owen,Bailey,Owen Bailey,York,Yorkshire and the Humber,United Kingdom,57.0,Male,30201.19,Employed full-time,,owen.bailey@hotmail.com,+44 7352 255040,Organic Search
U29655,Ruby,Silva,Ruby Silva,Basildon,East of England,United Kingdom,57.0,Female,33229.05,Employed full-time,Married,ruby.silva@gmail.com,+44 7472 980621,Social Media Ads
U52079,Amy,Andersson,Amy Andersson,Nottingham,,UK,46.0,Female,6188.5,Unemployed,Married,amy.andersson@btinternet.com,07875104595,Referral
U20533,Archie,Hunt,Archie Hunt,Belfast,Northern Ireland,UK,30.0,Male,,Employed full-time,Married,ahunt1993@outlook.com,,
U92730,Daniel,Stewart,Daniel Stewart,WATFORD,East of England,United Kingdom,,,36307.41,Employed full-time,,daniel.stewart@hotmail.com,07637 632 725,Paid Search
U80745,Reuben,Green,Reuben Green,Dundee,Scotland,United Kingdom,34.0,Other,31835.52,,Married,,07259 473519,
U96123,Rory,Richardson,Rory Richardson,,Scotland,UK,31.0,Male,7559.83,Employed part-time,Divorced,rory.richardson@gmail.com,(07932) 377537,Organic Search
U11041,Amy,Kowalski,Amy Kowalski,Rotherham ,Yorkshire and the Humber,UK,24.0,Female,,,Single,,+44 7486 672164,Social Media Ads
U22507,Martin,Morgan,Martin Morgan,Leeds,Yorkshire and the Humber,,52.0,Male,16831.48,Employed part-time,Married,martinm95@hotmail.com,(07336) 139384,Organic Search
U75180,Luke,Wilson,Luke Wilson,norwich,East of England,United Kingdom,57.0,Male,16856.15,,,luke.wilson@gmail.com,07313 418994,
U36921,Jessica,Brown,Jessica Brown,Wakefield,Yorkshire and the Humber,,39.0,Female,15259.87,Employed part-time,Single,jessicab41@gmail.com,(07592) 671088,
U38289,Emma,Ahmed,Emma Ahmed,Ipswich,,United Kingdom,30.0,Female,20040.24,Employed part-time,Separated,,07733 671507,Social Media Ads
U90813,Amy,Thomas,Amy Thomas,Cambridge,East of England,United kingdom,44.0,Female,,Employed full-time,Single,amy.thomas@btinternet.com,(07338) 594225,Organic Search
U62956,Theo,Young,Theo Young,Doncaster,Yorkshire and the Humber,United Kingdom,34.0,Male,26025.0,Self-employed,Married,theo.young@yahoo.co.uk,07185 245 699,Paid Search
U27250,Emma,James,Emma James, Coventry,West Midlands,UK,40.0,Female,31282.94,Employed full-time,,emma.james@outlook.com,(07736) 254589,Social Media Ads
U63102,Malcolm,Khan,Malcolm Khan,York,,U.K.,36.0,,47764.42,Employed full-time,Married,malcolm.khan@hotmail.com,07147 347660,Affiliate / Comparison Site
U85629,Angela,Jackson,Angela Jackson,,East of England,United Kingdom,40.0,Female,36226.27,Employed full-time,Divorced,angela.jackson@outlook.com,+44 7640 997371,Paid Search
U23959,Callum,Watson,Callum Watson,Southampton ,,,35.0,Male,33613.61,Employed full-time,Married,callum.watson@icloud.com,07755730601,Affiliate / Comparison Site
U87693,Lucy,Scott,Lucy Scott,Bristol,South West,uk,41.0,Female,29210.03,Employed full-time,Divorced,,07963 793 477,
U47128,Molly,Clark,Molly Clark,Norwich,,United Kingdom,33.0,Female,30474.22,Employed full-time,Married,,07597 107 045,Referral
U51793,Andrew,Patel,Andrew Patel, Stoke-on-Trent,West Midlands,,39.0,Male,45887.0,Employed full-time,Separated,andrewp82@gmail.com,+44 7436 815030,Referral
U67571,Priya,Ahmed,Priya Ahmed,Sunderland,North East,U.K.,47.0,Female,,Employed part-time,Single,pahmed2000@yahoo.co.uk,(07806) 472285,Affiliate / Comparison Site
U13653,Louis,Morgan,Louis Morgan,,East of England,U.K.,30.0,Male,41366.67,Employed full-time,Divorced,louism24@aol.com,(07810) 592034,Affiliate / Comparison Site
U40335,Sofia,Byrne,Sofia Byrne,,,United Kingdom,34.0,Female,41772.8,Employed full-time,Married,rebel314@yahoo.co.uk,07365 186 208,Organic Search
U40095,Georgia,Lewis,Georgia Lewis,Stockport,,U.K.,51.0,Female,36371.92,Employed full-time,Separated,georgia.lewis@outlook.com,07961 096 490,Paid Search
U33204,Lily,Wood,Lily Wood,Newcastle upon Tyne,North East,UK,,,31911.2,Employed full-time,,lily.wood@yahoo.co.uk,07435 743325,Social Media Ads
U72386,Edward,Nguyen,Edward Nguyen,,South East,UK,41.0,,,,Married,edward.nguyen@yahoo.co.uk,07652 036454,Paid Search
U57329,Ethan,Rossi,Ethan Rossi,Chelmsford,,uk,37.0,Male,41305.55,Employed full-time,Married,,07668017717,Paid Search
U58465,Gabriel,Gray,Gabriel Gray,Northampton,East Midlands,,32.0,Male,7524.71,,Married,gabriel.gray@@live.co.uk,07962314722,Direct / App Store
U37195,Freddie,Watts,Freddie Watts,Dundee,Scotland,UK,35.0,Male,35835.17,Employed full-time,Married,starlight18@hotmail.com,07369358706,Affiliate / Comparison Site
U32363,Barbara,Gray,Barbara Gray,,East of England,UK,32.0,Female,15760.46,Employed part-time,Divorced,barbarag42@outlook.com,,Paid Search
U20726,Rory,Graham,Rory Graham,SOUTHAMPTON,South East,United Kingdom,49.0,Male,43288.45,Self-employed,Married,rory.graham@yahoo.co.uk,,Paid Search
U70329,Adam,Mitchell,Adam Mitchell,Leicester,East Midlands,United Kingdom,,Male,24147.14,Employed full-time,Single,adamm74@icloud.com,07358265598,Referral
U15851,George,Rossi,George Rossi,ROTHERHAM,Yorkshire and the Humber,United Kingdom,31.0,Male,4153.56,Unemployed,Divorced,george.rossi@hotmail.com,07595 402 961,Social Media Ads
U28787,Poppy,Rossi,Poppy Rossi,,South West,United Kingdom,38.0,,39880.46,Employed full-time,,poppyr95@gmail.com,07372 894989,Paid Search
U27463,Molly,Baker,Molly Baker,Telford,West Midlands,UK,27.0,Female,28267.1,,Single,mollyb21@gmail.com,07302 349 971,
U64210,Riley,Wood,Riley Wood,Westminster,,United Kingdom,,Male,6000.0,Employed part-time,Married,rwood1975@icloud.com,,Direct / App Store
U85683,Rebecca,Begum,Rebecca Begum,sheffield,Yorkshire and the Humber,United kingdom,38.0,Female,33931.75,Employed full-time,Married,,07467532804,Paid Search
U34233,Ethan,Rahman,Ethan Rahman,Gloucester,South West,U.K.,33.0,Male,53885.23,Employed full-time,Separated,erahman1976@aol.com,07395 425097,Referral
U22358,Olivia,Clark,Olivia Clark,Chelmsford ,East of England,United Kingdom,31.0,Female,40034.81,Employed full-time,Single,oliviac6@gmail.com,07251 138381,Paid Search
U99643,Barry,Cooper,Barry Cooper,Swindon,South West,,52.0,Male,12030.51,Self-employed,Married,barry.cooper@hotmail.com,(07179) 760220,Direct / App Store
U86793,Abigail,Robinson,Abigail Robinson,Sale,North West,United Kingdom,37.0,Female,38514.87,Self-employed,Single,abigail.robinson@gmail.com,07413 835 877,Paid Search
U98163,Dylan,Kowalski,Dylan Kowalski,Newcastle upon Tyne,,United Kingdom,45.0,Male,,Employed full-time,Married,dkowalski1996@gmail.com,07144 524 998,Organic Search
U94576,Abigail,Hunt,Abigail Hunt,Sheffield,Yorkshire and the Humber,U.K.,36.0,Female,15024.71,Employed full-time,Single,abigailh23@gmail.com,07169792235,Paid Search
U11127,Ella,Wright,Ella Wright,,Scotland,United Kingdom,35.0,Female,5995.15,Unemployed,,ellaw11@gmail.com,07292 307743,Paid Search
U77156,Carol,Green,Carol Green, Warrington,North West,,43.0,,51792.65,Self-employed,Single,carolg69@outlook.com,(07970) 689603,Social Media Ads
U34116,Ellie,Graham,Ellie Graham,Birmingham,,United Kingdom,38.0,Female,7878.95,Employed part-time,,ellieg25@icloud.com,,Organic Search
U34479,Oliver,Gray,Oliver Gray,,East of England,United kingdom,,Male,30920.63,Employed full-time,Divorced,oliver.gray@yahoo.com,07303 446 321,Referral
U62163,Luke,O'Brien,Luke O'Brien,worcester,West Midlands,,55.0,,31633.12,Employed full-time,Separated,luke.obrien@outlook.com,07865902059,
U42922,Isla,Wood,Isla Wood,NORTHAMPTON,East Midlands,United Kingdom,22.0,Female,29429.09,Employed full-time,Single,isla.wood@btinternet.com,07242178974,Paid Search
U15878,Linda,Phillips,Linda Phillips,Newport,Wales,UK,30.0,Female,53013.61,Self-employed,Single,linda.phillips@icloud.com,+44 7638 773137,Paid Search
U16633,Samuel,Wilson,Samuel Wilson,Dundee,Scotland,United Kingdom,36.0,Male,47445.13,Employed full-time,Married,samuel.wilson@gmail.com,,Paid Search
U52639,Samuel,Young,Samuel Young,Birmingham,West Midlands,UK,21.0,Male,30672.92,Employed full-time,Married,syoung1978@gmail.com,,Social Media Ads
U91815,Thomas,Johnson,Thomas Johnson,Leicester,,United Kingdom,36.0,Male,22811.71,Employed full-time,Divorced,thomasj1@icloud.com,07832453337,Organic Search
U60059,Chelsea,Thomas,Chelsea Thomas,Ipswich,East of England,United Kingdom,,Female,48002.55,Employed full-time,Single,legend884@hotmail.com,(07977) 748709,Social Media Ads
U26466,Molly,White,Molly White,basildon,East of England,,,Female,42524.1,,Widowed,molly.white@yahoo.co.uk,(07713) 053986,
U43596,Sienna,Dimitrov,Sienna Dimitrov,Telford,,,38.0,Female,30731.09,Self-employed,Single,sienna.dimitrov@hotmail.com,07517 224 816,Direct / App Store
U51213,Ian,Mitchell,Ian Mitchell,,South West,United Kingdom,35.0,Male,41478.48,Self-employed,Married,imitchell1987@gmail.com,+44 7879 114444,Direct / App Store
U13559,Millie,Clark,Millie Clark,Swindon,South West,United Kingdom,41.0,Female,41122.81,,Separated,millie.clark@outlook.com,(07600) 803553,Paid Search
U75005,Kevin,Hunt,Kevin Hunt,Stockport,North West,UK,46.0,Male,24379.97,Employed full-time,Single,kevin.hunt@gmail.com,07619 709 551,Referral
U45764,Gabriel,James,Gabriel James,NEWCASTLE UPON TYNE,North East,United Kingdom,55.0,Male,27466.16,Employed full-time,Married,gabriel.james@hotmail.com,+44 7377 643730,Referral
U49584,Ellie,Muller,Ellie Muller,LEICESTER,East Midlands,United Kingdom,38.0,Female,31090.19,,Married,ellie.muller@gmail.com,07188 712840,Affiliate / Comparison Site
U45591,Ella,Phillips,Ella Phillips,Doncaster,Yorkshire and the Humber,United Kingdom,,Female,1386.62,Unemployed,Single,,07886613864,Organic Search
U28662,Janet,Silva,Janet Silva,Gillingham,South East,United Kingdom,31.0,,30230.59,Employed full-time,Widowed,janet.silva@gmail.com,07559 604039,Organic Search
U95622,Carol,Malik,Carol Malik,Cambridge,East of England,United Kingdom,,Female,25284.2,Employed full-time,Married,carolm34@hotmail.com,+44 7260 746985,Paid Search
U80947,Colin,Shah,Colin Shah,Huddersfield,Yorkshire and the Humber,UK,24.0,Male,33742.41,Self-employed,Married,colin.shah@outlook.com,07939989533,Paid Search
U60924,Henry,Hill,Henry Hill,Slough,South East,United Kingdom,42.0,Male,21612.29,Employed full-time,Single,hhill1996@hotmail.com,,Affiliate / Comparison Site
U70239,Jacob,Thomas,Jacob Thomas, Belfast,Northern Ireland,uk,30.0,Male,38723.39,Employed full-time,Other,jacobt93@yahoo.co.uk,07313945755,Affiliate / Comparison Site
U38770,Riley,Taylor,Riley Taylor,Cambridge,East of England,United Kingdom,40.0,Male,,Employed full-time,Married,riley.taylor@yahoo.co.uk,+44 7956 856190,Social Media Ads
U51492,Meera,Mitchell,Meera Mitchell,Slough,South East,United Kingdom,42.0,Female,32879.76,Employed full-time,Single,meera.mitchell@btinternet.com,07532161056,Social Media Ads
U91676,Jessica,Foster,Jessica Foster,Reading,,United Kingdom,42.0,Female,39161.13,Employed full-time,Single,,07139 584814,Social Media Ads
U52024,Jacob,Smith,Jacob Smith,Hull,Yorkshire and the Humber,United kingdom,65.0,Male,40477.59,Self-employed,Single,jacob.smith@gmail.com,(07609) 015551,Organic Search
U14456,Willow,Nguyen,Willow Nguyen,Luton,East of England,UK,65.0,Female,16191.51,Retired,Married,champ143@gmail.com,(07745) 757113,Paid Search
U23118,Muhammad,Hughes,Muhammad Hughes,Ipswich,East of England,UK,39.0,Male,34389.45,Employed full-time,Divorced,,(07998) 572000,Organic Search
U30635,Freddie,Brown,Freddie Brown,Huddersfield,Yorkshire and the Humber,,36.0,,26534.68,Employed full-time,Married,freddie.brown@outlook.com,07384 361450,Organic Search
U46825,Jayden,Roberts,Jayden Roberts,Newport,Wales,UK,38.0,Male,26406.39,Employed full-time,Married,jayden.roberts@icloud.com,07476 968049,
U12911,Holly,Edwards,Holly Edwards,Blackburn,North West,United Kingdom,31.0,Female,51385.96,Employed full-time,,holly.edwards@aol.com,07885 004761,Social Media Ads
U79687,Liam,Silva,Liam Silva,Wolverhampton,West Midlands,UK,26.0,Male,31775.03,Employed full-time,Divorced,liam.silva@gmail_com,07786571732,Social Media Ads
U73748,Amy,James,Amy James,,West Midlands,UK,,Other,33871.01,Employed full-time,Married,amyj4@live.co.uk,07722 871 999,Affiliate / Comparison Site
U39306,Ellie,White,Ellie White,Edinburgh,,UK,54.0,Female,6583.82,Unemployed,Divorced,ellie.white@gmail.com,(07127) 481235,
U21539,Amina,Adams,Amina Adams,colchester,East of England,,39.0,,38086.71,Employed full-time,,aminaa15@gmail.com,07949 309630,
U93069,Nicole,Hill,Nicole Hill,Plymouth ,South West,,59.0,Female,28016.35,Employed full-time,Single,cheeky133@hotmail.com,07138 801 493,
U56426,Nicole,Hussain,Nicole Hussain,Newcastle upon Tyne,North East,UK,34.0,,13261.07,Employed part-time,Single,nicole.hussain@gmail.com,,Paid Search
U58997,Elsie,Walker,Elsie Walker,Watford,East of England,UK,22.0,Female,44307.0,Employed full-time,Separated,sparky157@@yahoo.co.uk,07567 412 669,Organic Search
U64115,Grace,Dimitrov,Grace Dimitrov,Bath,South West,United Kingdom,42.0,Female,17639.52,Employed full-time,Married,grace.dimitrov@btinternet.com,07436183465,Direct / App Store
U27828,Elliot,Bailey,Elliot Bailey,Milton Keynes,South East,,,Male,36056.04,,Divorced,,07777 832 164,Affiliate / Comparison Site
U75310,Gabriel,Hussain,Gabriel Hussain,Bradford,Yorkshire and the Humber,U.K.,21.0,,24969.83,Employed full-time,Single,gabriel.hussain@icloud.com,07581 188361,Social Media Ads
U85416,Kathleen,Evans,Kathleen Evans,Sale,North West,United Kingdom,37.0,,14000.0,Employed full-time,Single,kathleen.evans@gmail.com,+44 7325 909448,
U90748,Oscar,Wilson,Oscar Wilson,Glasgow,Scotland,,53.0,Male,15094.07,Employed part-time,Single,oscar.wilson@gmail.com,(07592) 140773,Social Media Ads
U88185,Janet,Price,Janet Price,Coventry,West Midlands,UK,28.0,Female,21301.08,Employed full-time,Married,rebel931@outlook.com,(07434) 207211,Social Media Ads
U40762,Joshua,Hill,Joshua Hill,,East of England,UK,,,19333.24,Employed full-time,Separated,joshua.hill@live.co.uk,07804 682 416,Paid Search
U54357,Lucas,Lee,Lucas Lee,Luton ,East of England,uk,37.0,Male,28478.95,Employed part-time,,lucas.lee@hotmail.com,07638 944820,Organic Search
U28735,Gary,Shah,Gary Shah,Nottingham,East Midlands,,35.0,Male,39962.91,Employed full-time,Separated,garys51@yahoo.co.uk,(07150) 889840,
U11616,Joshua,Patel,Joshua Patel,Portsmouth,South East,United Kingdom,33.0,,40232.83,Employed full-time,,joshua.patel@btinternet.com,07204 007595,Affiliate / Comparison Site
U53178,Max,Harrison,Max Harrison,Worcester,West Midlands,U.K.,45.0,,,,Single,maxh41@yahoo.co.uk,+44 7294 132763,Paid Search
U27826,Kathleen,Hill,Kathleen Hill,PLYMOUTH,South West,United Kingdom,36.0,Female,20864.41,Employed full-time,Single,kathleen.hill@hotmail.com,07530 466709,Affiliate / Comparison Site
U30902,Archie,Malik,Archie Malik,Basildon,East of England,United Kingdom,28.0,Male,32179.53,Employed full-time,,archie.malik@icloud.com,,Paid Search
U17413,Aisha,Walker,Aisha Walker,Portsmouth,South East,United Kingdom,52.0,Female,30092.62,,Married,aishaw16@gmail.com,07163057392,Paid Search
U29481,Lily,Popescu,Lily Popescu,Swindon,South West,United Kingdom,48.0,Female,14000.0,Employed full-time,Widowed,lily.popescu@hotmail.com,07809 635 122,Affiliate / Comparison Site
U56667,Neil,Jones,Neil Jones,Paisley,Scotland,United Kingdom,35.0,Male,,,Other,neil.jones@icloud.com,(07193) 968260,Organic Search
U34177,Charlie,Edwards,Charlie Edwards, Dundee,Scotland,United Kingdom,30.0,Male,29569.3,Self-employed,Single,charlie.edwards@gmail.com,,Affiliate / Comparison Site
U76734,Daniel,Hussain,Daniel Hussain,Aberdeen,Scotland,United Kingdom,40.0,Male,24839.24,Employed full-time,,daniel.hussain@icloud.com,,Social Media Ads
U29360,Chelsea,Kelly,Chelsea Kelly,York,Yorkshire and the Humber,,,Female,35354.72,,Married,chelsea.kelly@yahoo.co.uk,07227038998,
U60048,Theo,Ahmed,Theo Ahmed,NEWCASTLE UPON TYNE,,United kingdom,34.0,Male,18835.12,Employed full-time,Single,theo.ahmed@gmail.com,07741040285,Referral
U87548,Muhammad,Harris,Muhammad Harris,Southampton,South East,United kingdom,34.0,Male,23683.54,Employed full-time,Married,mharris1978@hotmail.com,07958756693,
U18910,Mason,Smith,Mason Smith,Paisley ,Scotland,UK,23.0,Male,50901.12,Employed full-time,Single,mason.smith@outlook.com,,
U13589,Helen,Clark,Helen Clark,DUNDEE,Scotland,United Kingdom,32.0,Female,28283.0,Employed full-time,Single,helen.clark@gmail.com,(07918) 786250,Social Media Ads
U29521,Angela,Morris,Angela Morris,Stockport,North West,United Kingdom,32.0,Female,33800.29,Employed full-time,Separated,angela.morris@hotmail.com,07777772327,Affiliate / Comparison Site
U88304,Gabriel,Andersson,Gabriel Andersson,Newcastle upon Tyne,,UK,,Male,32656.03,Self-employed,Married,gabriel.andersson@gmail.com,07402024655,Organic Search
U60310,Fatima,Dimitrov,Fatima Dimitrov,Hull,,United Kingdom,44.0,Female,14629.57,Employed part-time,Married,fatima.dimitrov@hotmail.com,(07959) 655340,Social Media Ads
U73864,Chelsea,Wright,Chelsea Wright,gloucester,South West,United Kingdom,46.0,,28074.6,Employed full-time,Married,chelsea.wright@gmail.com,(07191) 762902,Social Media Ads
U67010,Elsie,Shaw,Elsie Shaw,Dundee,Scotland,United kingdom,49.0,Female,,Employed part-time,Married,,,Affiliate / Comparison Site
U74032,Matilda,Wilson,Matilda Wilson,Huddersfield,Yorkshire and the Humber,UK,46.0,Female,25848.78,,Married,matilda.wilson@yahoo.co.uk,+44 7679 665602,
U49109,Priya,Campbell,Priya Campbell,Poole,South West,,31.0,Female,16697.66,Self-employed,,priya.campbell@hotmail.com,07637783401,Social Media Ads
U23230,Muhammad,Marshall,Muhammad Marshall,Watford,East of England,UK,65.0,Male,38850.2,Self-employed,,muhammad.marshall@gmail.com,07511 144629,Paid Search
U47286,Muhammad,Evans,Muhammad Evans,Derby,East Midlands,United Kingdom,34.0,Male,19866.08,Employed full-time,,muhammad.evans@outlook.com,07189300051,Social Media Ads
U53880,Priya,Kelly,Priya Kelly,Swindon ,South West,United Kingdom,32.0,Female,45233.5,Employed full-time,Married,priya.kelly@gmail.com,(07870) 298050,Referral
U34300,Barry,Graham,Barry Graham,Sale,North West,UK,56.0,Male,,,Married,barry.graham@gmail.com,07668 290 519,Organic Search
U33628,Ethan,Wilson,Ethan Wilson,,Wales,UK,,Male,35419.31,Employed full-time,Other,ethanw28@btinternet.com,(07815) 992401,Direct / App Store
U74239,Holly,Johnson,Holly Johnson,Edinburgh,Scotland,United Kingdom,32.0,Female,37250.79,Employed full-time,Single,hjohnson1977@@icloud.com,07755 872186,Referral
U68369,Phoebe,Thomas,Phoebe Thomas,Portsmouth,South East,United Kingdom,24.0,Female,30264.94,,Married,phoebe.thomas@gmail.com,07465 665256,Social Media Ads
U20862,Robert,Thomas,Robert Thomas,Blackpool,North West,,,Male,44072.62,Employed full-time,Single,robert.thomas@gmail.com,+44 7537 815678,
U10729,Sophie,Ahmed,Sophie Ahmed,Newport,,United Kingdom,29.0,Female,41147.26,Employed full-time,Single,turbo854@gmail.com,+44 7964 709601,Affiliate / Comparison Site
U64875,Henry,Young,Henry Young,Middlesbrough,North East,United Kingdom,33.0,Male,39680.88,,Divorced,henry.young@gmail.com,07364 307 598,Paid Search
U46402,Lucy,Bennett,Lucy Bennett,ROTHERHAM,Yorkshire and the Humber,United Kingdom,33.0,Female,17342.63,,Single,lucy.bennett@icloud.com,(07574) 764301,Paid Search
U51663,Anjali,Davies,Anjali Davies,Milton Keynes,South East,UK,55.0,Female,30164.83,Employed full-time,Married,anjali.davies@hotmail.com,07691396546,Referral
U32893,Layla,Johnson,Layla Johnson,,North West,United Kingdom,27.0,Female,32775.75,Employed full-time,,,07206606382,Organic Search
U28952,Margaret,Dimitrov,Margaret Dimitrov,Warrington,North West,United Kingdom,46.0,Female,53114.52,Employed full-time,Married,margaret.dimitrov@gmail.com,(07376) 583778,Paid Search
U90588,Priya,Young,Priya Young,Southampton,South East,United Kingdom,30.0,Female,18445.85,Employed full-time,Other,rocket790@gmail.com,07472885221,Organic Search
U72207,Naomi,Marshall,Naomi Marshall,Doncaster,Yorkshire and the Humber,United Kingdom,43.0,Female,,Employed full-time,,naomim71@gmail.com,07827 408 760,Affiliate / Comparison Site
U70747,Hannah,Clarke,Hannah Clarke,Wakefield,Yorkshire and the Humber,United kingdom,53.0,Female,9828.44,Unemployed,Single,hannah.clarke@gmail.com,,Affiliate / Comparison Site
U78983,Benjamin,Edwards,Benjamin Edwards,Warrington,North West,United Kingdom,46.0,Male,,Employed full-time,Married,bedwards1983@gmail.com,+44 7160 533125,Affiliate / Comparison Site
U90937,Callum,Khan,Callum Khan,,South West,,37.0,Male,12211.6,Employed part-time,Separated,callum.khan@gmail.com,(07950) 666258,Organic Search
U60486,Alfie,Silva,Alfie Silva,Swindon,South West,United Kingdom,29.0,Male,52413.73,Employed full-time,Separated,alfie.silva@gmail.com,07323 104191,Organic Search
U56477,Charlotte,Rahman,Charlotte Rahman,brighton,,United Kingdom,32.0,,38023.54,Employed full-time,Single,charlotte.rahman@gmail.com,07225732028,Direct / App Store
U53607,Benjamin,Roberts,Benjamin Roberts,Chelmsford,East of England,United Kingdom,47.0,Male,,Employed full-time,Married,broberts1989@gmail.com,,Referral
U30647,Amelia,Rahman,Amelia Rahman,Portsmouth,South East,United kingdom,47.0,Female,41947.92,Employed full-time,Married,,,Paid Search
U58941,Matthew,Young,Matthew Young,Blackpool,North West,U.K.,38.0,Male,32873.35,Self-employed,,matthewy59@hotmail.com,07984273773,Social Media Ads
