"user_id","first_name","surname","full_name","city","region","country","age","age_range","gender","income","income_range","employment_status","marital_status","email","phone_number","acquisition_channel"
U11041,Amy,Kowalski,Amy Kowalski,Rotherham,Yorkshire And The Humber,United Kingdom,24.0,"20-35",Female,,,,Single,,+447486672164,Social Media Ads
U22507,Martin,Morgan,Martin Morgan,Leeds,Yorkshire And The Humber,,52.0,"51-65",Male,16831.48,"15k-30k",Employed part-time,Married,martinm95@hotmail.com,+447336139384,Organic Search
U75180,Luke,Wilson,Luke Wilson,Norwich,East Of England,United Kingdom,57.0,"51-65",Male,16856.15,"15k-30k",,,luke.wilson@gmail.com,+447313418994,
U36921,Jessica,Brown,Jessica Brown,Wakefield,Yorkshire And The Humber,,39.0,"36-50",Female,15259.87,"15k-30k",Employed part-time,Single,jessicab41@gmail.com,+447592671088,
U38289,Emma,Ahmed,Emma Ahmed,Ipswich,,United Kingdom,30.0,"20-35",Female,20040.24,"15k-30k",Employed part-time,Separated,,+447733671507,Social Media Ads
U90813,Amy,Thomas,Amy Thomas,Cambridge,East Of England,United Kingdom,44.0,"36-50",Female,,,Employed full-time,Single,amy.thomas@btinternet.com,+447338594225,Organic Search
U62956,Theo,Young,Theo Young,Doncaster,Yorkshire And The Humber,United Kingdom,34.0,"20-35",Male,26025.0,"15k-30k",Self-employed,Married,theo.young@yahoo.co.uk,+447185245699,Paid Search
U27250,Emma,James,Emma James,Coventry,West Midlands,United Kingdom,40.0,"36-50",Female,31282.94,"30k-50k",Employed full-time,,emma.james@outlook.com,+447736254589,Social Media Ads
U63102,Malcolm,Khan,Malcolm Khan,York,,United Kingdom,36.0,"36-50",,47764.42,"30k-50k",Employed full-time,Married,malcolm.khan@hotmail.com,+447147347660,Affiliate / Comparison Site
U85629,Angela,Jackson,Angela Jackson,,East Of England,United Kingdom,40.0,"36-50",Female,36226.27,"30k-50k",Employed full-time,Divorced,angela.jackson@outlook.com,+447640997371,Paid Search
U23959,Callum,Watson,Callum Watson,Southampton,,,35.0,"20-35",Male,33613.61,"30k-50k",Employed full-time,Married,callum.watson@icloud.com,+447755730601,Affiliate / Comparison Site
U87693,Lucy,Scott,Lucy Scott,Bristol,South West,United Kingdom,41.0,"36-50",Female,29210.03,"15k-30k",Employed full-time,Divorced,,+447963793477,
U47128,Molly,Clark,Molly Clark,Norwich,,United Kingdom,33.0,"20-35",Female,30474.22,"30k-50k",Employed full-time,Married,,+447597107045,Referral
U51793,Andrew,Patel,Andrew Patel,Stoke-On-Trent,West Midlands,,39.0,"36-50",Male,45887.0,"30k-50k",Employed full-time,Separated,andrewp82@gmail.com,+447436815030,Referral
U67571,Priya,Ahmed,Priya Ahmed,Sunderland,North East,United Kingdom,47.0,"36-50",Female,,,Employed part-time,Single,pahmed2000@yahoo.co.uk,+447806472285,Affiliate / Comparison Site
U13653,Louis,Morgan,Louis Morgan,,East Of England,United Kingdom,30.0,"20-35",Male,41366.67,"30k-50k",Employed full-time,Divorced,louism24@aol.com,+447810592034,Affiliate / Comparison Site
U40335,Sofia,Byrne,Sofia Byrne,,,United Kingdom,34.0,"20-35",Female,41772.8,"30k-50k",Employed full-time,Married,rebel314@yahoo.co.uk,+447365186208,Organic Search
U40095,Georgia,Lewis,Georgia Lewis,Stockport,,United Kingdom,51.0,"51-65",Female,36371.92,"30k-50k",Employed full-time,Separated,georgia.lewis@outlook.com,+447961096490,Paid Search
U33204,Lily,Wood,Lily Wood,Newcastle Upon Tyne,North East,United Kingdom,,,,31911.2,"30k-50k",Employed full-time,,lily.wood@yahoo.co.uk,+447435743325,Social Media Ads
U72386,Edward,Nguyen,Edward Nguyen,,South East,United Kingdom,41.0,"36-50",,,,,Married,edward.nguyen@yahoo.co.uk,+447652036454,Paid Search
U57329,Ethan,Rossi,Ethan Rossi,Chelmsford,,United Kingdom,37.0,"36-50",Male,41305.55,"30k-50k",Employed full-time,Married,,+447668017717,Paid Search
U58465,Gabriel,Gray,Gabriel Gray,Northampton,East Midlands,,32.0,"20-35",Male,7524.71,Under 15k,,Married,gabriel.gray@@live.co.uk,+447962314722,Direct / App Store
U37195,Freddie,Watts,Freddie Watts,Dundee,Scotland,United Kingdom,35.0,"20-35",Male,35835.17,"30k-50k",Employed full-time,Married,starlight18@hotmail.com,+447369358706,Affiliate / Comparison Site
U32363,Barbara,Gray,Barbara Gray,,East Of England,United Kingdom,32.0,"20-35",Female,15760.46,"15k-30k",Employed part-time,Divorced,barbarag42@outlook.com,,Paid Search
U20726,Rory,Graham,Rory Graham,Southampton,South East,United Kingdom,49.0,"36-50",Male,43288.45,"30k-50k",Self-employed,Married,rory.graham@yahoo.co.uk,,Paid Search
U70329,Adam,Mitchell,Adam Mitchell,Leicester,East Midlands,United Kingdom,,,Male,24147.14,"15k-30k",Employed full-time,Single,adamm74@icloud.com,+447358265598,Referral
U15851,George,Rossi,George Rossi,Rotherham,Yorkshire And The Humber,United Kingdom,31.0,"20-35",Male,4153.56,Under 15k,Unemployed,Divorced,george.rossi@hotmail.com,+447595402961,Social Media Ads
U28787,Poppy,Rossi,Poppy Rossi,,South West,United Kingdom,38.0,"36-50",,39880.46,"30k-50k",Employed full-time,,poppyr95@gmail.com,+447372894989,Paid Search
U27463,Molly,Baker,Molly Baker,Telford,West Midlands,United Kingdom,27.0,"20-35",Female,28267.1,"15k-30k",,Single,mollyb21@gmail.com,+447302349971,
U64210,Riley,Wood,Riley Wood,Westminster,,United Kingdom,,,Male,6000.0,Under 15k,Employed part-time,Married,rwood1975@icloud.com,,Direct / App Store
U85683,Rebecca,Begum,Rebecca Begum,Sheffield,Yorkshire And The Humber,United Kingdom,38.0,"36-50",Female,33931.75,"30k-50k",Employed full-time,Married,,+447467532804,Paid Search
U34233,Ethan,Rahman,Ethan Rahman,Gloucester,South West,United Kingdom,33.0,"20-35",Male,53885.23,"50k-75k",Employed full-time,Separated,erahman1976@aol.com,+447395425097,Referral
U22358,Olivia,Clark,Olivia Clark,Chelmsford,East Of England,United Kingdom,31.0,"20-35",Female,40034.81,"30k-50k",Employed full-time,Single,oliviac6@gmail.com,+447251138381,Paid Search
U99643,Barry,Cooper,Barry Cooper,Swindon,South West,,52.0,"51-65",Male,12030.51,Under 15k,Self-employed,Married,barry.cooper@hotmail.com,+447179760220,Direct / App Store
U86793,Abigail,Robinson,Abigail Robinson,Sale,North West,United Kingdom,37.0,"36-50",Female,38514.87,"30k-50k",Self-employed,Single,abigail.robinson@gmail.com,+447413835877,Paid Search
U98163,Dylan,Kowalski,Dylan Kowalski,Newcastle Upon Tyne,,United Kingdom,45.0,"36-50",Male,,,Employed full-time,Married,dkowalski1996@gmail.com,+447144524998,Organic Search
U94576,Abigail,Hunt,Abigail Hunt,Sheffield,Yorkshire And The Humber,United Kingdom,36.0,"36-50",Female,15024.71,"15k-30k",Employed full-time,Single,abigailh23@gmail.com,+447169792235,Paid Search
U11127,Ella,Wright,Ella Wright,,Scotland,United Kingdom,35.0,"20-35",Female,5995.15,Under 15k,Unemployed,,ellaw11@gmail.com,+447292307743,Paid Search
U77156,Carol,Green,Carol Green,Warrington,North West,,43.0,"36-50",,51792.65,"50k-75k",Self-employed,Single,carolg69@outlook.com,+447970689603,Social Media Ads
U34116,Ellie,Graham,Ellie Graham,Birmingham,,United Kingdom,38.0,"36-50",Female,7878.95,Under 15k,Employed part-time,,ellieg25@icloud.com,,Organic Search
U34479,Oliver,Gray,Oliver Gray,,East Of England,United Kingdom,,,Male,30920.63,"30k-50k",Employed full-time,Divorced,oliver.gray@yahoo.com,+447303446321,Referral
U62163,Luke,O'brien,Luke O'brien,Worcester,West Midlands,,55.0,"51-65",,31633.12,"30k-50k",Employed full-time,Separated,luke.obrien@outlook.com,+447865902059,
U42922,Isla,Wood,Isla Wood,Northampton,East Midlands,United Kingdom,22.0,"20-35",Female,29429.09,"15k-30k",Employed full-time,Single,isla.wood@btinternet.com,+447242178974,Paid Search
U15878,Linda,Phillips,Linda Phillips,Newport,Wales,United Kingdom,30.0,"20-35",Female,53013.61,"50k-75k",Self-employed,Single,linda.phillips@icloud.com,+447638773137,Paid Search
U16633,Samuel,Wilson,Samuel Wilson,Dundee,Scotland,United Kingdom,36.0,"36-50",Male,47445.13,"30k-50k",Employed full-time,Married,samuel.wilson@gmail.com,,Paid Search
U52639,Samuel,Young,Samuel Young,Birmingham,West Midlands,United Kingdom,21.0,"20-35",Male,30672.92,"30k-50k",Employed full-time,Married,syoung1978@gmail.com,,Social Media Ads
U91815,Thomas,Johnson,Thomas Johnson,Leicester,,United Kingdom,36.0,"36-50",Male,22811.71,"15k-30k",Employed full-time,Divorced,thomasj1@icloud.com,+447832453337,Organic Search
U60059,Chelsea,Thomas,Chelsea Thomas,Ipswich,East Of England,United Kingdom,,,Female,48002.55,"30k-50k",Employed full-time,Single,legend884@hotmail.com,+447977748709,Social Media Ads
U26466,Molly,White,Molly White,Basildon,East Of England,,,,Female,42524.1,"30k-50k",,Widowed,molly.white@yahoo.co.uk,+447713053986,
U43596,Sienna,Dimitrov,Sienna Dimitrov,Telford,,,38.0,"36-50",Female,30731.09,"30k-50k",Self-employed,Single,sienna.dimitrov@hotmail.com,+447517224816,Direct / App Store
U51213,Ian,Mitchell,Ian Mitchell,,South West,United Kingdom,35.0,"20-35",Male,41478.48,"30k-50k",Self-employed,Married,imitchell1987@gmail.com,+447879114444,Direct / App Store
U13559,Millie,Clark,Millie Clark,Swindon,South West,United Kingdom,41.0,"36-50",Female,41122.81,"30k-50k",,Separated,millie.clark@outlook.com,+447600803553,Paid Search
U75005,Kevin,Hunt,Kevin Hunt,Stockport,North West,United Kingdom,46.0,"36-50",Male,24379.97,"15k-30k",Employed full-time,Single,kevin.hunt@gmail.com,+447619709551,Referral
U45764,Gabriel,James,Gabriel James,Newcastle Upon Tyne,North East,United Kingdom,55.0,"51-65",Male,27466.16,"15k-30k",Employed full-time,Married,gabriel.james@hotmail.com,+447377643730,Referral
U49584,Ellie,Muller,Ellie Muller,Leicester,East Midlands,United Kingdom,38.0,"36-50",Female,31090.19,"30k-50k",,Married,ellie.muller@gmail.com,+447188712840,Affiliate / Comparison Site
U45591,Ella,Phillips,Ella Phillips,Doncaster,Yorkshire And The Humber,United Kingdom,,,Female,1386.62,Under 15k,Unemployed,Single,,+447886613864,Organic Search
U28662,Janet,Silva,Janet Silva,Gillingham,South East,United Kingdom,31.0,"20-35",,30230.59,"30k-50k",Employed full-time,Widowed,janet.silva@gmail.com,+447559604039,Organic Search
U95622,Carol,Malik,Carol Malik,Cambridge,East Of England,United Kingdom,,,Female,25284.2,"15k-30k",Employed full-time,Married,carolm34@hotmail.com,+447260746985,Paid Search
U80947,Colin,Shah,Colin Shah,Huddersfield,Yorkshire And The Humber,United Kingdom,24.0,"20-35",Male,33742.41,"30k-50k",Self-employed,Married,colin.shah@outlook.com,+447939989533,Paid Search
U60924,Henry,Hill,Henry Hill,Slough,South East,United Kingdom,42.0,"36-50",Male,21612.29,"15k-30k",Employed full-time,Single,hhill1996@hotmail.com,,Affiliate / Comparison Site
U70239,Jacob,Thomas,Jacob Thomas,Belfast,Northern Ireland,United Kingdom,30.0,"20-35",Male,38723.39,"30k-50k",Employed full-time,Other,jacobt93@yahoo.co.uk,+447313945755,Affiliate / Comparison Site
U38770,Riley,Taylor,Riley Taylor,Cambridge,East Of England,United Kingdom,40.0,"36-50",Male,,,Employed full-time,Married,riley.taylor@yahoo.co.uk,+447956856190,Social Media Ads
U51492,Meera,Mitchell,Meera Mitchell,Slough,South East,United Kingdom,42.0,"36-50",Female,32879.76,"30k-50k",Employed full-time,Single,meera.mitchell@btinternet.com,+447532161056,Social Media Ads
U91676,Jessica,Foster,Jessica Foster,Reading,,United Kingdom,42.0,"36-50",Female,39161.13,"30k-50k",Employed full-time,Single,,+447139584814,Social Media Ads
U52024,Jacob,Smith,Jacob Smith,Hull,Yorkshire And The Humber,United Kingdom,65.0,"51-65",Male,40477.59,"30k-50k",Self-employed,Single,jacob.smith@gmail.com,+447609015551,Organic Search
U14456,Willow,Nguyen,Willow Nguyen,Luton,East Of England,United Kingdom,65.0,"51-65",Female,16191.51,"15k-30k",Retired,Married,champ143@gmail.com,+447745757113,Paid Search
U23118,Muhammad,Hughes,Muhammad Hughes,Ipswich,East Of England,United Kingdom,39.0,"36-50",Male,34389.45,"30k-50k",Employed full-time,Divorced,,+447998572000,Organic Search
U30635,Freddie,Brown,Freddie Brown,Huddersfield,Yorkshire And The Humber,,36.0,"36-50",,26534.68,"15k-30k",Employed full-time,Married,freddie.brown@outlook.com,+447384361450,Organic Search
U46825,Jayden,Roberts,Jayden Roberts,Newport,Wales,United Kingdom,38.0,"36-50",Male,26406.39,"15k-30k",Employed full-time,Married,jayden.roberts@icloud.com,+447476968049,
U12911,Holly,Edwards,Holly Edwards,Blackburn,North West,United Kingdom,31.0,"20-35",Female,51385.96,"50k-75k",Employed full-time,,holly.edwards@aol.com,+447885004761,Social Media Ads
U79687,Liam,Silva,Liam Silva,Wolverhampton,West Midlands,United Kingdom,26.0,"20-35",Male,31775.03,"30k-50k",Employed full-time,Divorced,,+447786571732,Social Media Ads
U73748,Amy,James,Amy James,,West Midlands,United Kingdom,,,Other,33871.01,"30k-50k",Employed full-time,Married,amyj4@live.co.uk,+447722871999,Affiliate / Comparison Site
U39306,Ellie,White,Ellie White,Edinburgh,,United Kingdom,54.0,"51-65",Female,6583.82,Under 15k,Unemployed,Divorced,ellie.white@gmail.com,+447127481235,
U21539,Amina,Adams,Amina Adams,Colchester,East Of England,,39.0,"36-50",,38086.71,"30k-50k",Employed full-time,,aminaa15@gmail.com,+447949309630,
U93069,Nicole,Hill,Nicole Hill,Plymouth,South West,,59.0,"51-65",Female,28016.35,"15k-30k",Employed full-time,Single,cheeky133@hotmail.com,+447138801493,
U56426,Nicole,Hussain,Nicole Hussain,Newcastle Upon Tyne,North East,United Kingdom,34.0,"20-35",,13261.07,Under 15k,Employed part-time,Single,nicole.hussain@gmail.com,,Paid Search
U58997,Elsie,Walker,Elsie Walker,Watford,East Of England,United Kingdom,22.0,"20-35",Female,44307.0,"30k-50k",Employed full-time,Separated,sparky157@@yahoo.co.uk,+447567412669,Organic Search
U64115,Grace,Dimitrov,Grace Dimitrov,Bath,South West,United Kingdom,42.0,"36-50",Female,17639.52,"15k-30k",Employed full-time,Married,grace.dimitrov@btinternet.com,+447436183465,Direct / App Store
U27828,Elliot,Bailey,Elliot Bailey,Milton Keynes,South East,,,,Male,36056.04,"30k-50k",,Divorced,,+447777832164,Affiliate / Comparison Site
U75310,Gabriel,Hussain,Gabriel Hussain,Bradford,Yorkshire And The Humber,United Kingdom,21.0,"20-35",,24969.83,"15k-30k",Employed full-time,Single,gabriel.hussain@icloud.com,+447581188361,Social Media Ads
U85416,Kathleen,Evans,Kathleen Evans,Sale,North West,United Kingdom,37.0,"36-50",,14000.0,Under 15k,Employed full-time,Single,kathleen.evans@gmail.com,+447325909448,
U90748,Oscar,Wilson,Oscar Wilson,Glasgow,Scotland,,53.0,"51-65",Male,15094.07,"15k-30k",Employed part-time,Single,oscar.wilson@gmail.com,+447592140773,Social Media Ads
U88185,Janet,Price,Janet Price,Coventry,West Midlands,United Kingdom,28.0,"20-35",Female,21301.08,"15k-30k",Employed full-time,Married,rebel931@outlook.com,+447434207211,Social Media Ads
U40762,Joshua,Hill,Joshua Hill,,East Of England,United Kingdom,,,,19333.24,"15k-30k",Employed full-time,Separated,joshua.hill@live.co.uk,+447804682416,Paid Search
U54357,Lucas,Lee,Lucas Lee,Luton,East Of England,United Kingdom,37.0,"36-50",Male,28478.95,"15k-30k",Employed part-time,,lucas.lee@hotmail.com,+447638944820,Organic Search
U28735,Gary,Shah,Gary Shah,Nottingham,East Midlands,,35.0,"20-35",Male,39962.91,"30k-50k",Employed full-time,Separated,garys51@yahoo.co.uk,+447150889840,
U11616,Joshua,Patel,Joshua Patel,Portsmouth,South East,United Kingdom,33.0,"20-35",,40232.83,"30k-50k",Employed full-time,,joshua.patel@btinternet.com,+447204007595,Affiliate / Comparison Site
U53178,Max,Harrison,Max Harrison,Worcester,West Midlands,United Kingdom,45.0,"36-50",,,,,Single,maxh41@yahoo.co.uk,+447294132763,Paid Search
U27826,Kathleen,Hill,Kathleen Hill,Plymouth,South West,United Kingdom,36.0,"36-50",Female,20864.41,"15k-30k",Employed full-time,Single,kathleen.hill@hotmail.com,+447530466709,Affiliate / Comparison Site
U30902,Archie,Malik,Archie Malik,Basildon,East Of England,United Kingdom,28.0,"20-35",Male,32179.53,"30k-50k",Employed full-time,,archie.malik@icloud.com,,Paid Search
U17413,Aisha,Walker,Aisha Walker,Portsmouth,South East,United Kingdom,52.0,"51-65",Female,30092.62,"30k-50k",,Married,aishaw16@gmail.com,+447163057392,Paid Search
U29481,Lily,Popescu,Lily Popescu,Swindon,South West,United Kingdom,48.0,"36-50",Female,14000.0,Under 15k,Employed full-time,Widowed,lily.popescu@hotmail.com,+447809635122,Affiliate / Comparison Site
U56667,Neil,Jones,Neil Jones,Paisley,Scotland,United Kingdom,35.0,"20-35",Male,,,,Other,neil.jones@icloud.com,+447193968260,Organic Search
U34177,Charlie,Edwards,Charlie Edwards,Dundee,Scotland,United Kingdom,30.0,"20-35",Male,29569.3,"15k-30k",Self-employed,Single,charlie.edwards@gmail.com,,Affiliate / Comparison Site
U76734,Daniel,Hussain,Daniel Hussain,Aberdeen,Scotland,United Kingdom,40.0,"36-50",Male,24839.24,"15k-30k",Employed full-time,,daniel.hussain@icloud.com,,Social Media Ads
U29360,Chelsea,Kelly,Chelsea Kelly,York,Yorkshire And The Humber,,,,Female,35354.72,"30k-50k",,Married,chelsea.kelly@yahoo.co.uk,+447227038998,
U60048,Theo,Ahmed,Theo Ahmed,Newcastle Upon Tyne,,United Kingdom,34.0,"20-35",Male,18835.12,"15k-30k",Employed full-time,Single,theo.ahmed@gmail.com,+447741040285,Referral
U87548,Muhammad,Harris,Muhammad Harris,Southampton,South East,United Kingdom,34.0,"20-35",Male,23683.54,"15k-30k",Employed full-time,Married,mharris1978@hotmail.com,+447958756693,
U18910,Mason,Smith,Mason Smith,Paisley,Scotland,United Kingdom,23.0,"20-35",Male,50901.12,"50k-75k",Employed full-time,Single,mason.smith@outlook.com,,
U13589,Helen,Clark,Helen Clark,Dundee,Scotland,United Kingdom,32.0,"20-35",Female,28283.0,"15k-30k",Employed full-time,Single,helen.clark@gmail.com,+447918786250,Social Media Ads
U29521,Angela,Morris,Angela Morris,Stockport,North West,United Kingdom,32.0,"20-35",Female,33800.29,"30k-50k",Employed full-time,Separated,angela.morris@hotmail.com,+447777772327,Affiliate / Comparison Site
U88304,Gabriel,Andersson,Gabriel Andersson,Newcastle Upon Tyne,,United Kingdom,,,Male,32656.03,"30k-50k",Self-employed,Married,gabriel.andersson@gmail.com,+447402024655,Organic Search
U60310,Fatima,Dimitrov,Fatima Dimitrov,Hull,,United Kingdom,44.0,"36-50",Female,14629.57,Under 15k,Employed part-time,Married,fatima.dimitrov@hotmail.com,+447959655340,Social Media Ads
U73864,Chelsea,Wright,Chelsea Wright,Gloucester,South West,United Kingdom,46.0,"36-50",,28074.6,"15k-30k",Employed full-time,Married,chelsea.wright@gmail.com,+447191762902,Social Media Ads
U67010,Elsie,Shaw,Elsie Shaw,Dundee,Scotland,United Kingdom,49.0,"36-50",Female,,,Employed part-time,Married,,,Affiliate / Comparison Site
U74032,Matilda,Wilson,Matilda Wilson,Huddersfield,Yorkshire And The Humber,United Kingdom,46.0,"36-50",Female,25848.78,"15k-30k",,Married,matilda.wilson@yahoo.co.uk,+447679665602,
U49109,Priya,Campbell,Priya Campbell,Poole,South West,,31.0,"20-35",Female,16697.66,"15k-30k",Self-employed,,priya.campbell@hotmail.com,+447637783401,Social Media Ads
U23230,Muhammad,Marshall,Muhammad Marshall,Watford,East Of England,United Kingdom,65.0,"51-65",Male,38850.2,"30k-50k",Self-employed,,muhammad.marshall@gmail.com,+447511144629,Paid Search
U47286,Muhammad,Evans,Muhammad Evans,Derby,East Midlands,United Kingdom,34.0,"20-35",Male,19866.08,"15k-30k",Employed full-time,,muhammad.evans@outlook.com,+447189300051,Social Media Ads
